,0,1,2
198,Tuesday Morning Ride,1995,https://en.wikipedia.org/wiki/Dianne_Houston
199,On the Grind,2009,https://en.wikipedia.org/wiki/Ryan_Coogler
200,Some Call It Loving,1973,https://en.wikipedia.org/wiki/Richard_Pryor
201,.45,2006,https://en.wikipedia.org/wiki/Aisha_Tyler
202,Unstoppable,2005,https://en.wikipedia.org/wiki/Melvin_Van_Peebles
203,Posse,1993,https://en.wikipedia.org/wiki/Mario_Van_Peebles
204,Moose Mating,2001,https://en.wikipedia.org/wiki/Aisha_Tyler
205,Live & Smokin',1971,https://en.wikipedia.org/wiki/Richard_Pryor
206,For Us the Living: The Medgar Evers Story,1983,https://en.wikipedia.org/wiki/Michael_Schultz
207,"^ a b Boehm, Wolfgang, Dafna Kaufman, and Jazmine Hudson. ""Barbara McCullough: Materials on the Film, Filmmaker, and Artistic Context."" Liquid Blackness. October 24, 2017. Accessed November 15, 2018. http://liquidblackness.com/barbara-mccullough-blog-posts/.",2017,https://en.wikipedia.org/wiki/Barbara_McCullough
208,Doretha's Blues[12],2021,https://en.wikipedia.org/wiki/Channing_Godfrey_Peoples
209,I Wanna Dance with Somebody,2022,https://en.wikipedia.org/wiki/Kasi_Lemmons
210,Space Force,2020,https://en.wikipedia.org/wiki/Dee_Rees
211,Posse,1993,https://en.wikipedia.org/wiki/Charles_Lane_(filmmaker)
212,The Replacement Killers,1998,https://en.wikipedia.org/wiki/Antoine_Fuqua
213,Private Imaginings and Narrative Facts,1968,https://en.wikipedia.org/wiki/Edward_Owens_(filmmaker)
214,The Messenger,1975,https://en.wikipedia.org/wiki/Euzhan_Palcy
215,Hair Love,2019,https://en.wikipedia.org/wiki/Matthew_A._Cherry
216,Benjamin Glazer (1928),vteAcademy Award for Best Adapted Screenplay1928–1950,https://en.wikipedia.org/wiki/Barry_Jenkins
217,On the Count of Three,2021,https://en.wikipedia.org/wiki/Jerrod_Carmichael
218,Metro,1997,https://en.wikipedia.org/wiki/Thomas_Carter_(director)
219,The '70s,2000,https://en.wikipedia.org/wiki/Kevin_Willmott
220,Paula (Short film),1992,https://en.wikipedia.org/wiki/George_Tillman_Jr.
221,"2017- Emmy Award Winner, SoCal Con",cted,https://en.wikipedia.org/wiki/Alex_Stapleton
222,Gus and Rose: Reflections of Hurricane Katrina,2007,https://en.wikipedia.org/wiki/Greg_Carter_(filmmaker)
223,Freedom Bags,1990,https://en.wikipedia.org/wiki/Stanley_Nelson_Jr.
224,Appearances on C-SPAN,0000,https://en.wikipedia.org/wiki/Shola_Lynch
225,Three Faces of Women,1994,https://en.wikipedia.org/wiki/Vaginal_Davis
226,Police Woman,1975,https://en.wikipedia.org/wiki/Deborah_Pratt
227,Do the Right Thing,1989,https://en.wikipedia.org/wiki/Martin_Lawrence
228,The Homesteader,1919,https://en.wikipedia.org/wiki/Oscar_Micheaux
229,The Snake In My Bed,1995,https://en.wikipedia.org/wiki/Ben_Caldwell_(filmmaker)
230,Cold Case,2004,https://en.wikipedia.org/wiki/Jo_D._Jonz
231,D.E.B.S.,2004,https://en.wikipedia.org/wiki/Angela_Robinson_(filmmaker)
232,"^ ""Speaker Beti Ellerson: African Women Filmmakers"". Calendar. Retrieved 3 October 2020.",2020,https://en.wikipedia.org/wiki/Beti_Ellerson
233,Emancipation,2023,https://en.wikipedia.org/wiki/Antoine_Fuqua
234,"How to Become a Union Camerawoman: Film-Videotape, New York, L. J. Film Productions, 1977",1977,https://en.wikipedia.org/wiki/Jessie_Maple
235,Zora Is My Name!,0000,https://en.wikipedia.org/wiki/Neema_Barnette
236,The Longest Ride,2015,https://en.wikipedia.org/wiki/George_Tillman_Jr.
237,Cold Case  9 episodes; also co-executive producer; NAACP,mage,https://en.wikipedia.org/wiki/Paris_Barclay
238,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,https://en.wikipedia.org/wiki/Michael_Jai_White
239,Book of Love,2002,https://en.wikipedia.org/wiki/Jo_D._Jonz
240,The College Dropout Video Anthology,2004,https://en.wikipedia.org/wiki/Kanye_West
241,Ambad,2011,https://en.wikipedia.org/wiki/Abdisalam_Aato
242,Stone Cars,2014,https://en.wikipedia.org/wiki/Reinaldo_Marcus_Green
